pincode,district,state,severity,Criticality_Index
600100,CHENGALPATTU,TAMIL NADU,Extreme,41.32
713128,PURBA BARDHAMAN,WEST BENGAL,Extreme,41.32
515871,ANANTAPUR,ANDHRA PRADESH,Extreme,41.28
509353,Narayanpet,TELANGANA,Extreme,41.26
508204,SURYAPET,TELANGANA,Extreme,41.22
515101,Sri Sathya Sai,ANDHRA PRADESH,Extreme,41.16
500062,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,41.07
605502,VILLUPURAM,TAMIL NADU,Extreme,41.07
733124,DINAJPUR DAKSHIN,WEST BENGAL,Extreme,40.96
733132,DINAJPUR DAKSHIN,WEST BENGAL,Extreme,40.92
508111,YADADRI BHUVANAGIRI,TELANGANA,Extreme,40.69
795101,CHANDEL,MANIPUR,Extreme,40.68
509350,VIKARABAD,TELANGANA,Extreme,40.62
400043,MUMBAI SUBURBAN,MAHARASHTRA,Extreme,40.58
509103,WANAPARTHY,TELANGANA,Extreme,40.57
509204,Narayanpet,TELANGANA,Extreme,40.55
502278,SIDDIPET,TELANGANA,Extreme,40.54
500010,MEDCHAL MALKAJGIRI,TELANGANA,Extreme,40.52
515211,Sri Sathya Sai,ANDHRA PRADESH,Extreme,40.47
515561,Sri Sathya Sai,ANDHRA PRADESH,Extreme,40.44
560067,BENGALURU RURAL,KARNATAKA,Extreme,40.39
501101,VIKARABAD,TELANGANA,Extreme,40.38
754005,CUTTACK,ODISHA,Extreme,40.36
606203,KALLAKURICHI,TAMIL NADU,Extreme,40.31
515004,ANANTAPUR,ANDHRA PRADESH,Extreme,40.3
515401,ANANTAPUR,ANDHRA PRADESH,Extreme,40.27
811315,,,Extreme,40.2
500015,HYDERABAD,TELANGANA,Extreme,40.16
410206,RAIGAD,MAHARASHTRA,Extreme,40.13
502319,SANGAREDDY,TELANGANA,Extreme,40.06
515331,Sri Sathya Sai,ANDHRA PRADESH,Extreme,39.94
583201,BALLARI,KARNATAKA,Extreme,39.92
713325,PASCHIM BARDHAMAN,WEST BENGAL,Extreme,39.92
