pincode,district,state,severity,Criticality_Index
246762,BIJNOR,UTTAR PRADESH,Extreme,19.08
464228,VIDISHA,MADHYA PRADESH,Extreme,18.98
262802,KHERI,UTTAR PRADESH,Extreme,18.97
304001,TONK,RAJASTHAN,Extreme,18.97
306401,PALI,RAJASTHAN,Extreme,18.95
360003,MORBI,GUJARAT,Extreme,18.94
464001,VIDISHA,MADHYA PRADESH,Extreme,18.93
207001,ETAH,UTTAR PRADESH,Extreme,18.92
475661,DATIA,MADHYA PRADESH,Extreme,18.86
284403,LALITPUR,UTTAR PRADESH,Extreme,18.84
494661,,,Extreme,18.79
413517,LATUR,MAHARASHTRA,Extreme,18.7
500053,HYDERABAD,TELANGANA,Extreme,18.59
271604,BALRAMPUR,UTTAR PRADESH,Extreme,18.55
262308,,,Extreme,18.45
485001,SATNA,MADHYA PRADESH,Extreme,18.4
203207,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,Extreme,18.36
497101,SURGUJA,CHHATTISGARH,Extreme,18.33
210001,BANDA,UTTAR PRADESH,Extreme,18.3
246733,BIJNOR,UTTAR PRADESH,Extreme,18.28
201009,GHAZIABAD,UTTAR PRADESH,Extreme,18.25
472001,TIKAMGARH,MADHYA PRADESH,Extreme,18.14
833201,WEST SINGHBHUM,JHARKHAND,Extreme,18.13
424101,JALGAON,MAHARASHTRA,Extreme,18.1
782124,NAGAON,ASSAM,Extreme,18.06
212217,KAUSHAMBI,UTTAR PRADESH,Extreme,18.02
416416,SANGLI,MAHARASHTRA,Extreme,17.94
135001,YAMUNANAGAR,HARYANA,Extreme,17.89
476229,MORENA,MADHYA PRADESH,Extreme,17.86
247774,SHAMLI,UTTAR PRADESH,Extreme,17.74
